"geo_type";"region";"transportation_type";"alternative_name";"sub-region";"country";"fecha";"tasa"
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-08-15;38,31
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-08-16;28,19
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-08-17;31,32
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-08-18;37,3
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-08-19;36,11
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-08-20;36,94
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-08-21;41,54
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-08-22;41,93
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-08-23;31,48
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-08-24;38,94
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-08-25;33,61
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-08-26;30,9
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-08-27;41,65
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-08-28;38,14
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-08-29;29,48
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-08-30;29,58
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-08-31;32,48
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-09-01;31,04
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-09-02;25,28
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-09-03;35,72
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-09-04;45,74
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-09-05;46,46
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-09-06;31,19
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-09-07;36,89
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-09-08;41,38
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-09-09;41,45
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-09-10;44,28
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-09-11;47,44
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-09-12;47,97
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-09-13;37,07
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-09-14;39,12
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-09-15;40,01
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-09-16;45,17
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-09-17;52,1
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-09-18;56,75
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-09-19;51,37
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-09-20;42,99
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-09-21;45,94
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-09-22;45,92
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-09-23;48,37
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-09-24;51,24
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-09-25;42,04
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-09-26;36,4
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-09-27;25,82
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-09-28;41,94
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-09-29;49,39
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-09-30;47,07
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-10-01;46,57
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-10-02;52,24
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-10-03;42,84
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-10-04;25,4
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-10-05;41,88
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-10-06;46,69
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-10-07;49,97
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-10-08;51,71
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-10-09;55,89
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-10-10;56,35
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-10-11;34,43
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-10-12;42,19
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-10-13;47,64
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-10-14;50,6
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-10-15;48,66
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-10-16;64,31
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-10-17;46,36
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-10-18;27,27
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-10-19;36,91
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-10-20;37,15
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-10-21;41,08
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-10-22;36,22
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-10-23;58,13
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-10-24;56,35
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-10-25;19,79
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-10-26;48,99
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-10-27;53,41
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-10-28;42,92
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-10-29;51,36
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-10-30;57,63
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-10-31;60,79
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-11-01;39,87
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-11-02;47,08
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-11-03;53,47
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-11-04;53,74
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-11-05;53,5
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-11-06;64,73
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-11-07;63,29
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-11-08;38,15
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-11-09;46,6
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-11-10;51,21
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-11-11;51,56
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-11-12;54,38
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-11-13;66,31
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-11-14;56,23
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-11-15;38,76
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-11-16;49,47
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-11-17;51,24
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-11-18;53,47
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-11-19;58,34
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-11-20;66,24
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-11-21;59,42
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-11-22;40,63
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-11-23;39,09
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-11-24;46,07
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-11-25;49,86
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-11-26;58,76
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-11-27;66,64
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-11-28;49,51
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-11-29;35,2
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-11-30;49,58
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-12-01;59,47
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-12-02;54,59
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-12-03;66,34
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-12-04;74,99
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-12-05;64,7
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-12-06;43,05
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-12-07;45,43
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-12-08;39,68
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-12-09;64,77
"city";"Buenos Aires";"walking";NA;NA;"Argentina";2020-12-10;65,65
